City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Dicabisagan,PH,78.8,light rain,17.0818,122.4157,Nancy Montanes Bernardo
432,Viru,PE,63.7,broken clouds,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
440,Kaeo,NZ,82.33,overcast clouds,-35.1,173.7833,Bushido Lodge
441,Wanaka,NZ,62.02,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
445,Broken Hill,AU,82.11,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
447,Stellenbosch,ZA,65.61,scattered clouds,-33.9346,18.8668,Summerwood Guest House
448,Bahia Blanca,AR,69.73,clear sky,-38.7196,-62.2724,Hotel Argos
451,Mongoumba,CF,81.68,overcast clouds,3.6415,18.5936,
453,Maravilha,BR,75.61,overcast clouds,-26.7608,-53.1725,Maravilha Palace Hotel
455,Nanakuli,US,80.55,clear sky,21.3906,-158.1547,Camp Pālehua
456,Tual,ID,82.56,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
466,Sao Joao Da Barra,BR,76.3,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
469,Santa Maria Da Vitoria,BR,70.12,scattered clouds,-13.3947,-44.1886,Pousada Rio Current
472,Emerald,AU,89.35,clear sky,-23.5333,148.1667,The Irish Village
473,Boa Vista,BR,80.58,thunderstorm,2.8197,-60.6733,Aipana Plaza Hotel
474,Moron,AR,78.03,broken clouds,-34.6534,-58.6198,Hotel Morón
476,Poum,NC,81.36,few clouds,-20.2333,164.0167,Gîte kajeon
478,Chicama,PE,63.14,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
481,Sur,OM,71.67,few clouds,22.5667,59.5289,Sur Plaza Hotel
482,Pisco,PE,68.05,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
486,Kampong Chhnang,KH,73.67,overcast clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
491,La Plata,AR,78.01,scattered clouds,-34.9215,-57.9545,Hotel Corregidor
492,Homa Bay,KE,66.52,scattered clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
493,Huarmey,PE,69.58,broken clouds,-10.0681,-78.1522,Hotel Miramar
494,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
495,Lakatoro,VU,86.04,clear sky,-16.0999,167.4164,Lakatoro Palm Lodge
497,Vanimo,PG,76.66,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
500,Mabaruma,GY,74.16,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
503,Pochutla,MX,78.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
507,Qui Nhon,VN,72.37,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
510,Guarapari,BR,78.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
