City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Sunrise Manor,US,36.2111,-115.0731,56.71,36,75,10.36,broken clouds
228,Mayskiy,RU,47.6931,40.1025,8.01,82,23,7.36,few clouds
229,Haines Junction,CA,60.7522,-137.5108,-25.65,68,73,1.14,broken clouds
230,Esperance,AU,-33.8667,121.9,67.84,59,47,8.48,scattered clouds
231,Matara,LK,5.9485,80.5353,74.53,89,65,3.31,broken clouds
232,Marseille,FR,43.3333,5.5,45.84,90,100,6.55,overcast clouds
233,Longyearbyen,SJ,78.2186,15.6401,6.64,61,0,20.71,clear sky
234,Moreira Sales,BR,-24.0622,-53.0069,77.97,54,10,10.71,clear sky
235,Nyrob,RU,60.733,56.7202,-8.54,100,100,3.36,overcast clouds
236,Saldanha,ZA,-33.0117,17.9442,64.45,92,6,8.77,clear sky
237,Morant Bay,JM,17.8815,-76.4093,78.42,82,17,2.15,few clouds
238,Salalah,OM,17.0151,54.0924,68.09,77,0,3.44,clear sky
239,Pemangkat,ID,1.1667,108.9667,80.46,82,22,4.54,few clouds
240,Lincoln,US,40.8,-96.667,46.29,50,1,3.0,clear sky
241,Rawah,IQ,34.4816,41.9093,48.83,74,100,12.01,overcast clouds
242,Lata,PT,40.1629,-8.3327,59.92,86,100,7.16,overcast clouds
243,Puerto Leguizamo,CO,-0.1934,-74.7819,78.8,76,100,3.36,overcast clouds
244,Airai,TL,-8.9266,125.4092,67.24,76,100,1.7,overcast clouds
245,Halifax,CA,44.6453,-63.5724,40.21,94,100,8.01,overcast clouds
246,Tuatapere,NZ,-46.1333,167.6833,58.82,52,86,12.57,overcast clouds
247,Flin Flon,CA,54.7682,-101.865,-2.36,71,90,5.75,light snow
248,Aykhal,RU,66.0,111.5,-20.25,99,5,4.92,clear sky
249,Pundaguitan,PH,6.3711,126.1689,80.26,76,100,4.92,overcast clouds
250,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,75,8.05,broken clouds
251,Hithadhoo,MV,-0.6,73.0833,81.03,73,99,3.67,overcast clouds
252,Chadan,RU,51.2833,91.5833,-8.99,98,99,3.04,overcast clouds
253,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.78,96,100,0.6,overcast clouds
254,Wuda,CN,39.4994,106.7117,28.47,47,100,4.27,overcast clouds
255,Kudahuvadhoo,MV,2.6708,72.8944,82.08,70,64,9.33,broken clouds
256,Oktyabrskoye,RU,43.0645,44.7417,5.14,92,15,11.18,few clouds
257,Katsuura,JP,35.1333,140.3,52.2,46,84,10.58,broken clouds
258,Mount Pleasant,US,32.7941,-79.8626,48.34,93,1,0.0,clear sky
259,Penzance,GB,50.1186,-5.5371,52.77,93,100,24.56,overcast clouds
260,Shache,CN,38.4167,77.2406,26.87,51,100,2.59,overcast clouds
261,Yar-Sale,RU,66.8333,70.8333,23.2,96,100,12.55,light snow
262,Praxedis Guerrero,MX,31.3667,-106.0167,66.56,19,82,5.21,broken clouds
263,Princeton,US,25.5384,-80.4089,66.2,75,1,4.61,clear sky
264,Menongue,AO,-14.6585,17.691,63.39,95,100,4.21,overcast clouds
265,Cabra,ES,37.4725,-4.4421,53.4,88,92,2.55,overcast clouds
266,Fairmont,US,39.4851,-80.1426,31.41,61,0,1.99,clear sky
267,Ambilobe,MG,-13.2,49.05,76.82,89,98,4.7,light rain
268,Pemba,MZ,-12.974,40.5178,79.5,94,20,4.61,few clouds
