City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Saint-Philippe,RE,2021-12-14 20:58:41,-21.3585,55.7679,76.59,80,38,13.51
283,Dudinka,RU,2021-12-14 20:58:42,69.4058,86.1778,-11.38,96,100,24.63
284,Odda,NO,2021-12-14 20:58:42,60.0691,6.5457,46.99,99,100,11.92
285,College,US,2021-12-14 20:58:42,64.8569,-147.8028,-36.0,65,20,0.0
286,Nioro,GM,2021-12-14 20:58:43,13.35,-15.75,82.49,11,94,6.31
287,Vardo,NO,2021-12-14 20:58:43,70.3705,31.1107,30.18,93,75,8.05
288,Ayutla,MX,2021-12-14 20:58:43,20.1167,-104.3333,81.68,22,80,2.98
289,Santa Cruz,BO,2021-12-14 20:58:44,-17.8,-63.1667,78.85,73,75,6.91
290,Caraquet,CA,2021-12-14 20:58:44,47.7941,-64.9386,27.34,63,90,21.03
291,Ahipara,NZ,2021-12-14 20:58:44,-35.1667,173.1667,69.37,78,14,9.69
292,Varkaus,FI,2021-12-14 20:58:45,62.3153,27.873,32.31,99,100,3.11
